,Topic 1,Topic 2,Topic 3
1,iowa,colleg,grinnel
2,street,student,iowa
3,main,new,librari
4,avenu,one,communiti
5,church,includ,slide
6,broad,year,drake
7,north,two,archiv
8,west,campus,photograph
9,look,center,view
10,south,first,collect
11,bank,jimmi,postcard
12,corner,public,miscellan
13,side,also,seri
14,visibl,work,day
15,fourth,black,imagin
16,store,block,mcnalli
17,background,around,stewart
18,east,imag,parad
19,compani,professor,publish
20,near,peopl,man
21,4th,art,central
22,park,advertis,color
23,offic,american,renov
24,lake,town,chamber
25,old,name,commerc
26,busi,use,center
27,sign,histori,peopl
28,methodist,studi,card
29,scene,will,woman
30,post,men,box
