Title,PID,Description
"Becky Martin '94, Gretchen Johanns '94, & Nyasha Spears '94",grinnell:23382
"Dana Johnson '88 & Sarah Jolie '87",grinnell:23383
"Grinnell College Geology Collection",grinnell:geology,"A portion of the Grinnell College Geology Department's fossil and minerals collection."
"Grinnell College Yearbook 1958",grinnell:24398,
"Jon Royal '70, Diane Alters '71, Mary Brooner '71 & Sheena Thomas '71",grinnell:23385,
"Melanie Drake '92 & Susan Ratcliff Drake '58",grinnell:23393,
"Visualizing Abolition and Freedom",grinnell:vaf,
"Early College History",grinnell:college-history,
"G. W. Cook Correspondence, 1857-1860",grinnell:gwcc,
"Grinnell College Buildings",grinnell:college-buildings,
"Historic Iowa Postcards",grinnell:postcards,"Grinnell College Libraries' Historic Iowa Postcard Collection. A collection of postcards from 1900 through the middle of the 20th century, covering all parts of Iowa."
"Jimmy Ley Collection",grinnell:jimmy-ley,
"Kleinschmidt Architectural History",grinnell:kleinschmidt,
"Life at Grinnell College",grinnell:college-life,
"Studio Art",grinnell:studio-student-art,"This collection contains the work made by students in Grinnell’s Studio Art Department. Student work involves a broad range of media from studio courses, which includes: painting, drawing, sculpture, ceramics, print media, digital media, and installation. It also features images from student exhibitions at the Smith Gallery, and the annual Bachelor of Arts Exhibition at the Faulconer Gallery."
"Scholarship at Grinnell",grinnell:scholarship,"Publications, research papers and posters, performance programs, and other materials that document the scholarly and creative accomplishments of Grinnell College's students, faculty and staff, as well as syllabi, handouts, and related materials created by Grinnell College faculty for courses at Grinnell."
"Student Scholarship",grinnell:student-scholarship,
"Faculty Scholarship",grinnell:faculty-scholarship,
"Social Gospel",grinnell:social-gospel,"The Social Gospel Movement of the late 19th century arose in response to the disruptions of the era: urbanization, industrialization, immigration, wealth inequality, and labor unrest among them. Some religious leaders responded to this by asking, “What would Jesus Do?” and sought to bring a more just society into being. During the 1890s, Grinnell was a leading center of this movement through the leadership of George A. Gates, President of the College, and George D. Herron, the Professor of Applied Christianity. This collection contains images, texts, correspondence, and other materials that document the influence of the Social Gospel in Grinnell."
"Special Collections and Archives",grinnell:special-collections,"Digitized copies of materials housed in Grinnell College’s Special Collections and Archives, including photographs, letters, and documents."
"Syllabi and Curricular Materials",grinnell:curricular-materials,
"College Handbooks",grinnell:college-handbooks,"Faculty, staff, and student handbooks created by Grinnell College."
"Faulconer Art",grinnell:faulconer,
"Recent Acquisitions",grinnell:recent-art-acquisitions,"Works of art recently added to the collection through gifts from alumni and friends and purchases made possible by the Marie-Louise and Samuel R. Rosenthal Fund, Clinton A. Rehling `39 Purchase Fund for Art before 1900, Jacque Z. Baruch Memorial Purchase Fund, Christopher McKee Purchase Fund, Rosborough Fund and the Bea `39 and Joe `41 Wall Art Endowment."
"Soviet Graphic Art",grinnell:soviet-graphic-art,"The Brenda Horrigan `88 and Eric Johnson `88 Collection of Soviet Graphic Art is on long-term loan to the Grinnell College Art Collection. The five hundred lithographs, linocuts, serigraphs and etchings in the collection were made between 1966 and 1976 by members of the Union of Soviet Artists. The prints were found in an abandoned elementary school, and through the efforts of Professor John Mohan, placed in the keeping of Grinnell College."
"Grinnell College Campus Collections",grinnell:campus-collections,"Primary source materials from collections across campus."
"Ancient Coins",grinnell:ancient-coins,"A collection of Roman coins dating from 225 BCE to 383 CE. These coins were originally identified and catalogued by Danja Foss ’91, with revisions by Sarah Hubbard ’17 and Monessa Cummins, Associate Professor of Classics. Sarah Hubbard photographed the coins for use in this database. Descriptions of Republican coins are based on those of the British Museum’s online database, Roman Republican Coins, which is based on the work of M. H. Crawford, Roman Republican Coinage (1974). Descriptions of imperial coins are based on those of the multi-volume reference work, Roman Imperial Coinage (1923–94), which was begun by Harold Mattingly and Edward Allen Sydenham, and continues to be revised today. This database exists because of the indispensable expertise of the staff of Burling Library."
"Social Justice at Grinnell",grinnell:social-justice,
"Poweshiek History Preservation Project",grinnell:phpp,
"Drake Community Library Archives",grinnell:phpp-dcl,"Digitized copies of materials from the Drake Community Library archives. Includes photographs and documents related to the history of the Grinnell community, businesses and organizations."
"Community Contributions",grinnell:phpp-community,"Photographs and documents related to the history of Poweshiek County contributed by individuals. Contributions from throughout the county are welcome and include the communities of Barnes City, Brooklyn, Deep River, Ewart, Grinnell, Guernsey, Hartwick, Malcom, Montezuma, Searsboro and Victor."
"PHPP Oral Histories",grinnell:phpp-oral-history,"Oral history recordings and transcripts. Includes “Grinnell’s Voice from the Past: The Depression and WWII Oral History Project” and other oral histories from the area."
"Grinnell Historical Museum",grinnell:phpp-ghm,"Photographs from the collection of the Grinnell Historical Museum."
"Alumni Oral Histories",grinnell:alumni-oral-histories,"The Alumni Oral History Project aims to better understand and share the history of Grinnell College by recording and preserving oral histories with members of the Grinnell College alumni community. This collection of oral histories was recorded between 2009 and the present as part of the annual alumni Reunion weekend event."
,faulconer-art:205,
,faulconer-art:601,
,faulconer-art:627,
,faulconer-art:1680,
,faulconer-art:1693,
,faulconer-art:1691,
,faulconer-art:1730,
,faulconer-art:1670,
,faulconer-art:302,
,faulconer-art:1461,
,faulconer-art:1646,
,faulconer-art:1658,
,faulconer-art:629,
,faulconer-art:1622,
,faulconer-art:1696,
,faulconer-art:1694,
,faulconer-art:1690,
,faulconer-art:1697,
,faulconer-art:1989,
,faulconer-art:1291,
,faulconer-art:293,
,faulconer-art:617,
"  1995.176",faulconer-art:235,
"  1995.611",faulconer-art:616,
"  Gemälde der Futuristen",faulconer-art:6484,"Broadside poster for the historic Futurist exhibition at Herwarth Walden's Der Sturm in Berlin in 1912."
" Blue Wallpaper #1: Inhale/Exhale",faulconer-art:6519,
" Erster Druck der Kampfbühne",faulconer-art:6466,"The prospectus for Schreyer's ""Kreuzigung"", the folio pressbook-score for his expressionist Passion play of this title, produced under the auspices of Schreyer's Kampfbühne."
"""Central School"", Algona, Iowa",grinnell:13895,"Looking at a three-story brick and stone building built in 1886 with children in front. The building was torn down in 1930 to make room for the new high school building. 1914 postmark. Number 044."
"""Church of the Air,"" A CBS Nationwie Broadcast of the Grinnell Choir",grinnell:23452,"The Grinnel choir performs for a CBS nationwide broadcast as part of the ""Church of the Air"" Series"
"""Dolgo l' mne guliat' na svete...""",faulconer-art:363,
"""Edvard Munch"" ex libris Wm. B. Daniel",faulconer-art:653,
"""Grinnell in the '80s"" Lecture",grinnell:19334,"""Grinnell in the '80s"" lecture at the Veterans Memorial building. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.10, slide 9."
"""Gusi-Lebedi"" list 1-Naleteli Gusi-Lebedi",faulconer-art:268,
"""O""",faulconer-art:3712,
"""Pered Sevom""",faulconer-art:461,
"""Po dolinam i po vzgor'iam""",faulconer-art:409,
"""Pokhod""",faulconer-art:463,
