"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"1","""Church of the Air,"" A CBS Nationwie Broadcast of the Grinnell Choir","grinnell:23452","The Grinnel choir performs for a CBS nationwide broadcast as part of the ""Church of the Air"" Series",NA,"Grinnell College",1950,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Music, Choir","still image",NA,"Grinnell (Iowa)"
"2","""Grinnell in the '80s"" Lecture","grinnell:19334","""Grinnell in the '80s"" lecture at the Veterans Memorial building. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.10, slide 9.",NA,"Poweshiek History Preservation Project",1980,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Organizations","still image","Lectures and lecturing, Clothing and dress","Grinnell (Iowa)"
"3","""Program in Practical Political Education"" (Photograph)","grinnell:5997","This photograph shows Grinnell College students engaging in Grinnell's ""Program in Practical Political Education"" in 1962.",NA,"Grinnell College",1962,"Digital Grinnell, Life at Grinnell College",NA,"still image","College students, Grinnell College, Politics and government","Grinnell (Iowa)"
"4","""Riding"" the Underground Railroad","grinnell:23205","Announcing a panel discussion on societal and artistic perspectives on the Underground Railroad.",NA,"Grinnell College",2018,"Digital Grinnell, Campus Events",NA,"Text","Underground Railroad, African American quilts","Grinnell (Iowa), Southern States"
"5","""We Like Center Point. So Will You"", Center Point, Iowa","grinnell:13390","Montage of 8 Center Point, Iowa landmarks including the Chicago, Rock Island and Pacific Railroad Station, Commercial Park, Center Point Canning Factory, High school building, Methodist Episcopal church, ditching for the water works mains, and Main Street. 1913 postmark.","C.R.I. & P. Station and Commercial Park, Chicago, Rock Island and Pacific Station, First M.E. Church, First Methodist Episcopal Church, Center Point Canning Factory, Ditching for the water works mains, Main Street looking south, Commercial Park, High school building","KRUXO",1913,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Linn County (Iowa), Center Point (Iowa), Montages, Educational facilities, Religious facilities, Commercial streets",NA
"6","""Were You There"" - Roland Hayes (1940), essay","grinnell:19506","Essay about tenor Roland Hayes (188701977) and the negro spiritual ""Were You There"" published in 1940 on Columbia Masterworks.","""Were You There""","Grinnell College",2013,"Digital Grinnell, Faculty Scholarship",NA,"text","Hayes, Roland, 1887-1977, Spirituals (Songs), African Americans - Music","United States."
"7","#robinhoodfail","grinnell:23150","Advertising a lecture by Dr. Moya Bailey, assistant professor at Northeastern University.","The Ethics of Public Scholarship and the Digital Liberal Arts, A Digital in Public Event","Grinnell College",2017,"Digital Grinnell, Campus Events",NA,"Text","Internet and women, African Americans, Blacks, Internet -- Safety measures","Grinnell (Iowa)"
"8","$100 Reward for Stolen Car, Rock Rapids, Iowa","grinnell:16384","$100 Reward for Stolen Car, Rock Rapids, Iowa",NA,NA,NA,NA,NA,"still image","Advertising cards, Awards",NA
"9","$25.00 Reward","grinnell:12530","Postcard sent by the Montezuma, Iowa, Chief of Police and the Northwestern National Insurance Company to the Sheriff's Office in Leon, Iowa, offering a $25.00 reward for information leading to the recovery of a 1932 Nash Sedan which was stolen in Montezuma on February 17, 1934. The postcard is postmarked February 21, 1934, Milwaukee, Wisconsin.",NA,NA,NA,NA,NA,"still image",NA,NA
"10","$65,000 Catholic Cathedral in Construction, Stuart, Iowa","grinnell:14930","$65,000 Catholic Cathedral in Construction, Stuart, Iowa",NA,"Olson Photograph Co., Plattsmouth, Neb.",NA,NA,NA,"still image","Churches, Catholic churches, Building construction, Construction equipment, Construction workers",NA
"11","(All Cars Stop at Talbott's) Broad St. N. From 4th Ave., Grinnell, Iowa","grinnell:14365","Transposed photo of trolley (right) onto Broad Street photo. 1912 postmark.",NA,"Des Moines Post Card Co. (Des Moines, IA)",1912,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Commercial streets, Commercial facilities, Stores & shops, Dirt roads, Street railroads",NA
